epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2205,3.37416,9.95455,0.0335,0,0,0,0,3.41362,5.59907,0.03381,0.000550876,0.000550876,0.000550876
2,135.099,3.10428,5.90465,0.03018,0.02331,0.01018,0.00168,0.00032,3.62005,4.85641,0.04934,0.0011063,0.0011063,0.0011063
3,208.57,2.97623,3.85286,0.02779,0.22584,0.15847,0.08153,0.02148,2.78001,3.20153,0.02836,0.00166073,0.00166073,0.00166073
4,269.948,2.80261,3.36681,0.02604,0.26034,0.21218,0.11364,0.04553,2.6323,2.93133,0.02694,0.00166367,0.00166367,0.00166367
5,344.826,2.72033,3.21127,0.02487,0.30872,0.24651,0.14265,0.05865,2.59299,2.85131,0.02567,0.00166108,0.00166108,0.00166108
6,409.369,2.61417,3.10398,0.02432,0.24683,0.26228,0.14557,0.05766,2.63717,3.02053,0.02653,0.00165776,0.00165776,0.00165776
7,471.746,2.56994,2.98232,0.02346,0.3048,0.25078,0.15264,0.06845,2.54689,2.84334,0.02585,0.00165371,0.00165371,0.00165371
8,532.558,2.52098,2.93247,0.02188,0.27909,0.30301,0.1793,0.08259,2.48415,2.76804,0.02337,0.00164893,0.00164893,0.00164893
9,596.417,2.48742,2.84978,0.02139,0.33344,0.31571,0.17868,0.08436,2.51109,2.62138,0.02462,0.00164343,0.00164343,0.00164343
10,661.427,2.40483,2.76479,0.02106,0.35408,0.3122,0.19755,0.09256,2.45864,2.60516,0.02489,0.00163721,0.00163721,0.00163721
11,727.006,2.45499,2.83019,0.02138,0.31154,0.28904,0.18711,0.08568,2.47135,2.71169,0.02396,0.00163029,0.00163029,0.00163029
12,792.37,2.39971,2.78031,0.02068,0.30695,0.31898,0.18366,0.10103,2.35168,2.61185,0.02192,0.00162265,0.00162265,0.00162265
13,861.101,2.35666,2.71863,0.02084,0.36899,0.35212,0.19983,0.09275,2.40903,2.61081,0.02314,0.00161432,0.00161432,0.00161432
